region,party,type_id
Івано-Франківська обласна рада,Соціалісти,0.0
Івано-Франківська обласна рада,Українська галицька партія,1.0
Івано-Франківська обласна рада,Українська народна партія,0.0
Івано-Франківська обласна рада,УКРОП,1.0
Київська обласна рада,Аграрна партія України,1.0
Київська обласна рада,БПП Солідарність,1.0
Київська обласна рада,ВО Батьківщина,2.0
Київська обласна рада,ВО Свобода,0.0
Київська обласна рада,Громадянська позиція,1.0
Київська обласна рада,Єдність,0.0
Київська обласна рада,Наш край,1.0
Київська обласна рада,Нові обличчя,1.0
Київська обласна рада,Опозиційний блок,1.0
Київська обласна рада,Радикальна партія Олега Ляшка,1.0
Київська обласна рада,Самопоміч,1.0
Київська обласна рада,Сила людей,0.0
Київська обласна рада,Соціалісти,0.0
Київська обласна рада,УКРОП,1.0
Кіровоградська обласна рада,Аграрна партія України,1.0
Кіровоградська обласна рада,БПП Солідарність,1.0
Кіровоградська обласна рада,ВО Батьківщина,1.0
Кіровоградська обласна рада,ВО Свобода,1.0
Кіровоградська обласна рада,Народний контроль,1.0
Кіровоградська обласна рада,Наш край,1.0
Кіровоградська обласна рада,Опозиційний блок,1.0
Кіровоградська обласна рада,Партія пенсіонерів України,1.0
Кіровоградська обласна рада,Радикальна партія Олега Ляшка,0.0
Кіровоградська обласна рада,Самопоміч,1.0
Кіровоградська обласна рада,Соціалісти,1.0
Кіровоградська обласна рада,УКРОП,1.0
Львівська обласна рада,БПП Солідарність,1.0
Львівська обласна рада,ВО Батьківщина,1.0
Львівська обласна рада,ВО Свобода,1.0
Львівська обласна рада,Воля,1.0
Львівська обласна рада,Громадянська позиція,1.0
Львівська обласна рада,Єдиний Центр,0.0
Львівська обласна рада,Народний контроль,1.0
Львівська обласна рада,Народний рух України,1.0
Львівська обласна рада,Наш край,1.0
Львівська обласна рада,Опозиційний блок,1.0
Львівська обласна рада,Радикальна партія Олега Ляшка,1.0
Львівська обласна рада,Самопоміч,1.0
Львівська обласна рада,Сила людей,1.0
Львівська обласна рада,Українська галицька партія,1.0
Львівська обласна рада,Українська республіканська партія,0.0
Львівська обласна рада,УКРОП,1.0
Миколаївська обласна рада,Аграрна партія України,0.0
Миколаївська обласна рада,БПП Солідарність,1.0
Миколаївська обласна рада,Відродження,1.0
Миколаївська обласна рада,ВО Батьківщина,1.0
Миколаївська обласна рада,ВО Свобода,0.0
Миколаївська обласна рада,Наш край,1.0
Миколаївська обласна рада,Нова держава,1.0
Миколаївська обласна рада,Опозиційний блок,1.0
Миколаївська обласна рада,Партія простих людей Сергія Капліна,1.0
Миколаївська обласна рада,Радикальна партія Олега Ляшка,0.0
Миколаївська обласна рада,Соціалісти,0.0
Миколаївська обласна рада,УКРОП,1.0
Одеська обласна рада,Аграрна партія України,1.0
Одеська обласна рада,Блок Дарта Вейдера,0.0
Одеська обласна рада,БПП Солідарність,1.0
Одеська обласна рада,Відродження,1.0
Одеська обласна рада,ВО Батьківщина,1.0
Одеська обласна рада,ВО Свобода,1.0
Одеська обласна рада,Довіряй ділам,1.0
Одеська обласна рада,Народна партія,1.0
Одеська обласна рада,Наш край,1.0
Одеська обласна рада,Нова держава,0.0
Одеська обласна рада,Опозиційний блок,1.0
Одеська обласна рада,Патріот,1.0
Одеська обласна рада,Радикальна партія Олега Ляшка,1.0
Одеська обласна рада,Соціалісти,1.0
Одеська обласна рада,Українська морська партія Сергія Ківалова,1.0
Одеська обласна рада,УКРОП,1.0
Полтавська обласна рада,Аграрна партія України,1.0
Полтавська обласна рада,БПП Солідарність,1.0
Полтавська обласна рада,Відродження,1.0
Полтавська обласна рада,ВО Батьківщина,1.0
Полтавська обласна рада,ВО Свобода,1.0
Полтавська обласна рада,Наш край,1.0
Полтавська обласна рада,Нова держава,2.0
Полтавська обласна рада,Опозиційний блок,1.0
Полтавська обласна рада,Партія простих людей Сергія Капліна,1.0
Полтавська обласна рада,Радикальна партія Олега Ляшка,1.0
Полтавська обласна рада,Рідне місто,1.0
Полтавська обласна рада,Самопоміч,1.0
Полтавська обласна рада,Сила людей,0.0
Полтавська обласна рада,Совість України,1.0
Полтавська обласна рада,Соціалісти,0.0
Полтавська обласна рада,"Українська партія честі, боротьби з корупцією та організованою злочинністю",0.0
Полтавська обласна рада,УКРОП,1.0
Рівненська обласна рада,Аграрна партія України,1.0
Рівненська обласна рада,БПП Солідарність,1.0
Рівненська обласна рада,ВО Батьківщина,1.0
Рівненська обласна рада,ВО Свобода,1.0
Рівненська обласна рада,Воля,1.0
Рівненська обласна рада,Громадянська позиція,1.0
Рівненська обласна рада,Європейська партія України,1.0
Рівненська обласна рада,Народний контроль,1.0
Рівненська обласна рада,Наш край,1.0
Рівненська обласна рада,Опозиційний блок,1.0
Рівненська обласна рада,Партія конкретних справ,1.0
Рівненська обласна рада,Прогрес,1.0
Рівненська обласна рада,Радикальна партія Олега Ляшка,1.0
Рівненська обласна рада,Сила людей,3.0
Рівненська обласна рада,УКРОП,1.0
Сумська обласна рада,Аграрна партія України,1.0
Сумська обласна рада,БПП Солідарність,1.0
Сумська обласна рада,Відродження,1.0
Сумська обласна рада,ВО Батьківщина,1.0
Сумська обласна рада,ВО Свобода,0.0
Сумська обласна рада,Воля народу,1.0
Сумська обласна рада,За Україну!,1.0
Сумська обласна рада,Нова держава,1.0
Сумська обласна рада,Опозиційний блок,1.0
Сумська обласна рада,Партія простих людей Сергія Капліна,1.0
Сумська обласна рада,Радикальна партія Олега Ляшка,1.0
Сумська обласна рада,Рідне місто,0.0
Сумська обласна рада,Сила людей,1.0
Сумська обласна рада,Соціалісти,0.0
Сумська обласна рада,УКРОП,1.0
Тернопільська обласна рада,БПП Солідарність,1.0
Тернопільська обласна рада,ВО Батьківщина,1.0
Тернопільська обласна рада,ВО Свобода,1.0
Тернопільська обласна рада,Громадянська позиція,1.0
Тернопільська обласна рада,Добрий самарянин,3.0
Тернопільська обласна рада,Народний контроль,1.0
Тернопільська обласна рада,Народний рух України,0.0
Тернопільська обласна рада,Радикальна партія Олега Ляшка,1.0
Тернопільська обласна рада,Самопоміч,1.0
Тернопільська обласна рада,Соціалісти,0.0
Тернопільська обласна рада,Українська галицька партія,1.0
Тернопільська обласна рада,УКРОП,1.0
Харківська обласна рада,Блок Дарта Вейдера,0.0
Харківська обласна рада,БПП Солідарність,1.0
Харківська обласна рада,Відродження,0.0
Харківська обласна рада,ВО Батьківщина,1.0
Харківська обласна рада,ВО Свобода,2.0
Харківська обласна рада,Волонтерська партія України,1.0
Харківська обласна рада,Наш край,1.0
Харківська обласна рада,Нова держава,1.0
Харківська обласна рада,Опозиційний блок,0.0
Харківська обласна рада,"Партія Сергія Тігіпка ""Сильна Україна""",1.0
Харківська обласна рада,Радикальна партія Олега Ляшка,2.0
Харківська обласна рада,Самопоміч,1.0
Харківська обласна рада,Сила людей,1.0
Харківська обласна рада,Соціалісти,0.0
Харківська обласна рада,УКРОП,1.0
Херсонська обласна рада,БПП Солідарність,1.0
Херсонська обласна рада,Відродження,1.0
Херсонська обласна рада,ВО Батьківщина,0.0
Херсонська обласна рада,ВО Свобода,0.0
Херсонська обласна рада,Всеукраїнська партія духовності і патріотизму,0.0
Херсонська обласна рада,Наш край,1.0
Херсонська обласна рада,Нова держава,0.0
Херсонська обласна рада,Опозиційний блок,1.0
Херсонська обласна рада,Партія місцевого самоврядування,1.0
Херсонська обласна рада,Радикальна партія Олега Ляшка,0.0
Херсонська обласна рада,Самопоміч,1.0
Херсонська обласна рада,Сила і честь,1.0
Херсонська обласна рада,Соціалісти,1.0
Херсонська обласна рада,Союз лівих сил,1.0
Херсонська обласна рада,УКРОП,1.0
Хмельницька обласна рада,Аграрна партія України,1.0
Хмельницька обласна рада,БПП Солідарність,1.0
Хмельницька обласна рада,Відродження,1.0
Хмельницька обласна рада,ВО Батьківщина,1.0
Хмельницька обласна рада,ВО Свобода,1.0
Хмельницька обласна рада,За конкретні справи,1.0
Хмельницька обласна рада,Народний контроль,1.0
Хмельницька обласна рада,Наш край,2.0
Хмельницька обласна рада,Нова держава,0.0
Хмельницька обласна рада,Опозиційний блок,0.0
Хмельницька обласна рада,Радикальна партія Олега Ляшка,0.0
Хмельницька обласна рада,Самопоміч,1.0
Хмельницька обласна рада,Соціалісти,0.0
Хмельницька обласна рада,УКРОП,1.0
Черкаська обласна рада,Аграрна партія України,1.0
Черкаська обласна рада,БПП Солідарність,1.0
Черкаська обласна рада,Відродження,1.0
Черкаська обласна рада,ВО Батьківщина,1.0
Черкаська обласна рада,ВО Свобода,1.0
Черкаська обласна рада,Народний контроль,1.0
Черкаська обласна рада,Наш край,1.0
Черкаська обласна рада,Нова держава,0.0
Черкаська обласна рада,Опозиційний блок,1.0
Черкаська обласна рада,Партія ветеранів Афганістану,1.0
Черкаська обласна рада,Партія простих людей Сергія Капліна,1.0
Черкаська обласна рада,Радикальна партія Олега Ляшка,1.0
Черкаська обласна рада,Соціалісти,1.0
Черкаська обласна рада,УКРОП,2.0
Черкаська обласна рада,Черкащани,1.0
Чернівецька обласна рада,Аграрна партія України,1.0
Чернівецька обласна рада,БПП Солідарність,1.0
Чернівецька обласна рада,Відродження,1.0
Чернівецька обласна рада,ВО Батьківщина,1.0
Чернівецька обласна рада,ВО Свобода,1.0
Чернівецька обласна рада,Громада і закон,0.0
Чернівецька обласна рада,Народний контроль,1.0
Чернівецька обласна рада,Наш край,2.0
Чернівецька обласна рада,Нова держава,0.0
Чернівецька обласна рада,Опозиційний блок,1.0
Чернівецька обласна рада,Радикальна партія Олега Ляшка,1.0
Чернівецька обласна рада,Самопоміч,1.0
Чернівецька обласна рада,Сила людей,2.0
Чернівецька обласна рада,Соціалісти,0.0
Чернівецька обласна рада,УКРОП,1.0
Чернігівська обласна рада,Аграрна партія України,1.0
Чернігівська обласна рада,БПП Солідарність,1.0
Чернігівська обласна рада,ВО Батьківщина,1.0
Чернігівська обласна рада,ВО Свобода,0.0
Чернігівська обласна рада,Громадянська позиція,0.0
Чернігівська обласна рада,Наш край,1.0
Чернігівська обласна рада,Нова держава,1.0
Чернігівська обласна рада,Опозиційний блок,0.0
Чернігівська обласна рада,Партія простих людей Сергія Капліна,0.0
Чернігівська обласна рада,Радикальна партія Олега Ляшка,1.0
Чернігівська обласна рада,Соціалісти,0.0
Чернігівська обласна рада,УКРОП,1.0
